# time, MeanKE, MeanKEDR, MeanP, MeanFKEDR
8.23549979E+00 9.52606648089111829E-02 1.04502767794326257E-02 1.75168021274776375E-01 6.56105982002706464E-03
8.24157338E+00 9.51917501811477135E-02 1.04611545853208268E-02 1.75379816188422938E-01 6.56235496247934563E-03
8.24765780E+00 9.51226414889726479E-02 1.04717841528995485E-02 1.75590028206760257E-01 6.56355525628414538E-03
8.25376032E+00 9.50532538994342951E-02 1.04821806110830095E-02 1.75799019709189042E-01 6.56465729966360708E-03
8.25985402E+00 9.49838967569223980E-02 1.04923015912580953E-02 1.76006652724265328E-01 6.56565184572424718E-03
8.26589318E+00 9.49150976343795805E-02 1.05020808866648375E-02 1.76210723460833635E-01 6.56652935199535451E-03
8.27188447E+00 9.48467826420180959E-02 1.05115427798658668E-02 1.76409795292907956E-01 6.56729006210996120E-03
8.27783731E+00 9.47788469750386470E-02 1.05207124681011410E-02 1.76606104080137299E-01 6.56793410561106426E-03
8.28376114E+00 9.47111856220618081E-02 1.05296117313840136E-02 1.76799525860941942E-01 6.56846121805413231E-03
8.28966542E+00 9.46436932365626593E-02 1.05382585092576361E-02 1.76990562053962353E-01 6.56887075995661509E-03
8.29555960E+00 9.45762644050830159E-02 1.05466665269516400E-02 1.77179471227633306E-01 6.56916173339618797E-03
8.30145311E+00 9.45087940464101883E-02 1.05548452460159335E-02 1.77366612530164836E-01 6.56933280554939519E-03
8.30735531E+00 9.44411777793570939E-02 1.05628002844932560E-02 1.77552297193261654E-01 6.56938234151181050E-03
8.31327546E+00 9.43733121389623147E-02 1.05705342993626748E-02 1.77625323169960270E-01 6.56930844337875151E-03
8.31922275E+00 9.43050913814365288E-02 1.05780486024710345E-02 1.78086258762427729E-01 6.56910897465301079E-03
8.32519533E+00 9.42365413598512253E-02 1.05853299090555228E-02 1.78095112965529934E-01 6.56878234436183376E-03
8.33115849E+00 9.41680642926516487E-02 1.05923312498978177E-02 1.78141683790316474E-01 6.56833079242595021E-03
8.33706407E+00 9.41002178124364791E-02 1.05990008030555187E-02 1.78609488087175861E-01 6.56776165194770424E-03
8.34292324E+00 9.40328807454788446E-02 1.06053601938755279E-02 1.78622297880725145E-01 6.56707906440633180E-03
8.34874706E+00 9.39659269828285598E-02 1.06114306529460026E-02 1.78673378873168698E-01 6.56628653385025584E-03
8.35454652E+00 9.38992316820942696E-02 1.06172308144555638E-02 1.79143062258881963E-01 6.56538696997722299E-03
8.36033257E+00 9.38326707461445697E-02 1.06227776377135433E-02 1.79150962186171353E-01 6.56438286326470853E-03
8.36611607E+00 9.37661206080537546E-02 1.06280866624592508E-02 1.79191530442503244E-01 6.56327633354221018E-03
8.37190780E+00 9.36994581694162582E-02 1.06331722790087308E-02 1.79593247924636074E-01 6.56206918368387564E-03
8.37771531E+00 9.36325975450371661E-02 1.06380454341130307E-02 1.79614911253522941E-01 6.56076370753664283E-03
8.38354053E+00 9.35655173193068596E-02 1.06427127457720191E-02 1.79816680936317641E-01 6.55936359030095603E-03
8.38939229E+00 9.34981129943295991E-02 1.06471874730282908E-02 1.79872266847603796E-01 6.55787100202601374E-03
8.39527959E+00 9.34302829301746629E-02 1.06514816725291721E-02 1.80301515503925924E-01 6.55628795585813835E-03
8.40121171E+00 9.33619207798533357E-02 1.06556085324003118E-02 1.80311241246363968E-01 6.55461639615842039E-03
