#  time, MeanKE MeanKEDR MeanP MeanNuT MeanLesProduction MeanStrainRate
6.34847693E+00 1.04591709100701494E-01 8.42810031209786752E-03 1.06602627957181048E-01 3.33536715576134533E-04 4.55056164699601737E-03 1.39376020411809298E+00
6.36429252E+00 1.04451053774537894E-01 8.45110553626879889E-03 1.07406534354513902E-01 3.34254167026943520E-04 4.56643796025437820E-03 1.39533344611107069E+00
6.38011177E+00 1.04309943707942734E-01 8.47369220358121233E-03 1.08202852153173157E-01 3.34961426936377304E-04 4.58200665632303716E-03 1.39689427979640901E+00
6.39593402E+00 1.04168392446559482E-01 8.49571456740739160E-03 1.08991473418992860E-01 3.35651583615818611E-04 4.59711803069502104E-03 1.39844283919247436E+00
6.41175855E+00 1.04026416921269946E-01 8.51727037779102109E-03 1.09772308092203355E-01 3.36336154952007131E-04 4.61186476186613466E-03 1.39997911902834726E+00
6.42758457E+00 1.03884034493927496E-01 8.53838759053107688E-03 1.10545302458046044E-01 3.37011627561180176E-04 4.62626996132872725E-03 1.40150343435234337E+00
6.44341127E+00 1.03741263084685328E-01 8.55907944200359413E-03 1.11310416522017577E-01 3.37676722372468833E-04 4.64034231133848927E-03 1.40301649673409812E+00
6.45923779E+00 1.03598120438513686E-01 8.57968024360032493E-03 1.12067634312980349E-01 3.38355492552367093E-04 4.65441188350544394E-03 1.40451913134975981E+00
6.47506322E+00 1.03454608890827429E-01 8.60003892685522360E-03 1.12817103092284099E-01 3.39036607482403707E-04 4.66832830085791607E-03 1.40601193441641770E+00
6.49088668E+00 1.03310739278495684E-01 8.62016813922028557E-03 1.13558702179420212E-01 3.39714316945292948E-04 4.68210197568507021E-03 1.40749459446725589E+00
6.50670725E+00 1.03166526900644706E-01 8.64015070495278981E-03 1.14292443501818011E-01 3.40393214217009940E-04 4.69581242410458625E-03 1.40896727318818971E+00
6.52252402E+00 1.03021987618829303E-01 8.65981802499457727E-03 1.15018374435383500E-01 3.41068725674043406E-04 4.70928815567398570E-03 1.41043038117921449E+00
6.53833611E+00 1.02877138670876223E-01 8.67900325223447573E-03 1.15736553946336737E-01 3.41737055082237163E-04 4.72235905189383361E-03 1.41188425498772796E+00
6.55414265E+00 1.02731999896950504E-01 8.69758313568750989E-03 1.16447058360912750E-01 3.42382540877465120E-04 4.73489730156868068E-03 1.41332919248601097E+00
6.56994279E+00 1.02586594195195849E-01 8.71557142600303501E-03 1.17149978621557738E-01 3.43002017624326660E-04 4.74691092320377300E-03 1.41476568780826084E+00
6.58573573E+00 1.02440943636710913E-01 8.73305983678869004E-03 1.17845423035721722E-01 3.43607908140684403E-04 4.75848600550054027E-03 1.41619445222125551E+00
6.60152070E+00 1.02295067581514368E-01 8.75008231613473575E-03 1.18533517558016832E-01 3.44202698649539150E-04 4.76965142358272507E-03 1.41761626928516904E+00
6.61729698E+00 1.02148984336831505E-01 8.76679957611741119E-03 1.19214409481741543E-01 3.44788238078671476E-04 4.78056315167268899E-03 1.41903201532835466E+00
6.63306389E+00 1.02002708460458960E-01 8.78334204844519358E-03 1.19888266912362304E-01 3.45364998488346931E-04 4.79134858933526371E-03 1.42044241929748427E+00
6.64882080E+00 1.01856250191682388E-01 8.79988436616421094E-03 1.20555253027499143E-01 3.45941655065052332E-04 4.80218147195520147E-03 1.42184743053845475E+00
6.66456714E+00 1.01709614095449458E-01 8.81656301843132366E-03 1.21215536091746651E-01 3.46524856086745023E-04 4.81319967744071875E-03 1.42324633737953898E+00
6.68030241E+00 1.01562798189489462E-01 8.83333494571987912E-03 1.21869347507834805E-01 3.47105701856399880E-04 4.82436347498981996E-03 1.42463820792140505E+00
6.69602617E+00 1.01415797294889642E-01 8.85009388557748272E-03 1.22516931014668984E-01 3.47684970256288738E-04 4.83557048651090098E-03 1.42602168981083333E+00
6.71173803E+00 1.01268612869626864E-01 8.86678112084771097E-03 1.23158379570874416E-01 3.48259464943232258E-04 4.84676343107481519E-03 1.42739509772593531E+00
6.72743770E+00 1.01121250197723334E-01 8.88357906603045103E-03 1.23793909109596964E-01 3.48840456880005129E-04 4.85812479388432038E-03 1.42875726698640326E+00
6.74312380E+00 1.00973719666845693E-01 8.90060872613191063E-03 1.24423783937697929E-01 3.49425233439937569E-04 4.86977800838305115E-03 1.43010689236574895E+00
6.75879489E+00 1.00826023762817824E-01 8.91759455833560609E-03 1.25048338497990186E-01 3.50006392797790912E-04 4.88145317586072530E-03 1.43144133954808361E+00
6.77445065E+00 1.00678161027181412E-01 8.93415038797089681E-03 1.25667737481879205E-01 3.50562755172506351E-04 4.89276674808140910E-03 1.43275734998884285E+00
6.79009083E+00 1.00530141827164785E-01 8.95035146422923540E-03 1.26282170070633915E-01 3.51101757166973202E-04 4.90379196254163430E-03 1.43405283972268771E+00
6.80571530E+00 1.00381975923815245E-01 8.96633858724948420E-03 1.26891926471834088E-01 3.51633385350160702E-04 4.91466724354673243E-03 1.43532691308883709E+00
6.82132402E+00 1.00233668297164777E-01 8.98203705657626625E-03 1.27497316744065531E-01 3.52153584535736344E-04 4.92531696839710806E-03 1.43657928904055221E+00
6.83691706E+00 1.00085223297728398E-01 8.99748878328731662E-03 1.28098663547291547E-01 3.52662109043650688E-04 4.93578208646082948E-03 1.43781044578369532E+00
6.85249459E+00 9.99366431072159916E-02 9.01277381966007589E-03 1.28696295423611384E-01 3.53161727328759559E-04 4.94614205889962449E-03 1.43902097583992683E+00
6.86805694E+00 9.97879265249038971E-02 9.02776046078685931E-03 1.29290576413355091E-01 3.53641797223583126E-04 4.95626524632182801E-03 1.44021082692386271E+00
6.88360452E+00 9.96390739913747825E-02 9.04250270496779161E-03 1.29881865604029034E-01 3.54111634674990675E-04 4.96620450369758982E-03 1.44138022025231693E+00
6.89913791E+00 9.94900849973247153E-02 9.05711692180419421E-03 1.30470524874448213E-01 3.54573767976054937E-04 4.97607428927835955E-03 1.44253016360627551E+00
6.91465781E+00 9.93409547133583676E-02 9.07160686677385697E-03 1.31056922925785996E-01 3.55029715294573822E-04 4.98587725071422249E-03 1.44366155496998050E+00
6.93016508E+00 9.91916747226559009E-02 9.08589668202034427E-03 1.31641433923088469E-01 3.55476004797065004E-04 4.99553700315086367E-03 1.44477507725105481E+00
6.94566073E+00 9.90422348742947267E-02 9.09999323234965407E-03 1.32224475192688928E-01 3.55908757679010564E-04 5.00505962846983007E-03 1.44587110596589641E+00
6.96114593E+00 9.88926226527740704E-02 9.11389625227023922E-03 1.32806453740014707E-01 3.56326764959131537E-04 5.01444381458740571E-03 1.44694878443265940E+00
6.97662202E+00 9.87428248445384460E-02 9.12775857092441162E-03 1.33387771517572334E-01 3.56733998422160189E-04 5.02384009950031674E-03 1.44800680494726408E+00
6.99209052E+00 9.85928233412909222E-02 9.14190745855916059E-03 1.33968907514918883E-01 3.57149133606874606E-04 5.03357363062886462E-03 1.44904463854524335E+00
